VEHICLETYPE,VEHICLECLASS,Count,Probability
1,0,5592730,0.7311687184306294
1,8,796,0.00010406551002297286
1,23,1,1.3073556535549353e-07
1,25,9,1.1766200881994419e-06
1,26,146,1.9087392541902055e-05
1,27,2,2.6147113071098706e-07
2,0,21543,0.0028164362844533973
2,8,108,1.4119441058393302e-05
2,26,6,7.844133921329612e-07
3,0,44531,0.005821785460845483
3,8,61,7.974869486685105e-06
3,26,15,1.961033480332403e-06
4,0,40464,0.00529008391654469
4,8,47,6.1445715717081965e-06
11,0,692795,0.09057294600045915
11,8,173,2.261725280650038e-05
11,21,8623,0.0011273327800604208
11,22,20,2.6147113071098705e-06
11,24,68,8.89001844417356e-06
11,25,1,1.3073556535549353e-07
11,26,40,5.229422614219741e-06
11,27,163,2.1309897152945445e-05
12,0,241998,0.03163774534489872
12,8,250,3.268389133887338e-05
12,21,19708,0.0025765365220260664
12,22,82,1.072031635915047e-05
12,24,21394,0.002796956685215429
12,25,30,3.922066960664806e-06
12,26,14,1.8302979149769095e-06
12,27,30699,0.004013451120848296
13,0,108858,0.014231612173468315
13,8,36,4.7064803527977674e-06
13,21,3292,0.00043038148115028473
13,22,2,2.6147113071098706e-07
13,24,46700,0.006105350902101548
13,25,1006,0.00013151997874762648
13,26,1,1.3073556535549353e-07
13,27,528810,0.06913427431563854
14,0,75109,0.009819417578285763
14,8,5,6.536778267774676e-07
14,21,7046,0.0009211627934948074
14,22,4,5.229422614219741e-07
14,24,43,5.621629310286222e-06
14,25,18,2.3532401763988837e-06
14,26,2,2.6147113071098706e-07
14,27,1418,0.00018538303167408982
15,0,60665,0.007931073072291015
15,21,386,5.0463928227220504e-05
15,22,3,3.922066960664806e-07
15,24,186,2.4316815156121798e-05
15,25,13,1.6995623496214159e-06
15,27,509,6.654440276594621e-05
16,0,50374,0.0065856733692176315
16,8,6,7.844133921329612e-07
16,21,11200,0.0014642383319815276
16,22,15,1.961033480332403e-06
16,24,365,4.771848135475514e-05
16,25,457,5.9746153367460543e-05
16,27,12480,0.0016315798556365594
21,0,11563,0.0015116953422055718
21,8,2,2.6147113071098706e-07
21,22,3,3.922066960664806e-07
21,26,70,9.151489574884548e-06
22,0,8431,0.001102231551512166
22,22,3,3.922066960664806e-07
22,23,2,2.6147113071098706e-07
22,26,347,4.5365241178356254e-05
23,0,1463,0.00019126613211508704
23,8,3,3.922066960664806e-07
23,23,1,1.3073556535549353e-07
23,26,161,2.104842602223446e-05
23,27,8,1.0458845228439482e-06
24,0,1240,0.00016211210104081198
24,8,2,2.6147113071098706e-07
24,25,1,1.3073556535549353e-07
24,26,101,1.3204292100904848e-05
25,0,89,1.1635465316638925e-05
25,25,1,1.3073556535549353e-07
26,0,8,1.0458845228439482e-06
26,26,1,1.3073556535549353e-07
26,27,2,2.6147113071098706e-07
