HEX,Downstream_HEX,Probability
3C0101,3C0102,0.967416877524748
3C0101,3D0117,0.03258312247525192
3C0102,3C0103,0.8815276364869448
3C0102,3D0115,0.11847236351305528
3C0103,3C0104,0.8988475807088168
3C0103,3D0113,0.10115241929118321
3C0104,3C0105,0.7070190302398331
3C0104,3C770E,0.247165015641293
3C0104,3D770D,0.045815954118873826
3C0105,3C0106,0.8614837747964683
3C0105,3D0111,0.1385162252035317
3C0106,3C0107,0.9307036703927363
3C0106,3D010F,0.06929632960726369
3C0107,3C0301,0.9962196064954034
3C0107,3D2C03,0.003780393504596615
3C0110,3D0109,0.5446238196771246
3C0110,3C0107,0.4553761803228754
3C0112,3D010A,0.8161566156615662
3C0112,3C0106,0.18384338433843384
3C0114,3C0104,0.7650973867084271
3C0114,3D010C,0.23490261329157286
3C0116,3C0103,0.6308095435112399
3C0116,3D010D,0.36919045648876014
3C0118,3C0102,0.6741359665780479
3C0118,3D010E,0.32586403342195214
3C011A,3C0101,0.5920344456404736
3C011A,3D0204,0.40796555435952636
3C0201,3C0202,0.908925938527844
3C0201,3D0209,0.09107406147215606
3C0202,3C0203,0.6986552870540366
3C0202,3C7001,0.2988140723465489
3C0202,3D2B03,0.0025306405994144792
3C0203,3C0101,0.9469062784349409
3C0203,3D0119,0.05309372156505914
3C020A,3C0202,0.691414554374489
3C020A,3D0206,0.30858544562551105
3C0301,3C0302,0.9435943983402489
3C0301,3D030D,0.05640560165975104
3C0302,3C0303,0.9606605904806419
3C0302,3D030B,0.039339409519358104
3C0303,3C1002,0.7359031936127745
3C0303,3C0304,0.2535179640718563
3C0303,3D100C,0.010578842315369262
3C0304,3C8A07,0.7195250020195493
3C0304,3D8A04,0.2804749979804508
3C030C,3C0303,0.6169734151329244
3C030C,3D0307,0.3830265848670757
3C030E,3C0302,0.5002246181491464
3C030E,3D0308,0.4997753818508536
3C0401,3C0402,0.8447731123219928
3C0401,3D041B,0.15522688767800724
3C0402,3C0403,0.8233814700632809
3C0402,3D0413,0.17661852993671914
3C0403,3C0404,0.7667518973984334
3C0403,3C850C,0.22671374649945208
