HEX,Downstream_HEX,Probability
3C0101,3C0102,0.9607635674293524
3C0101,3D0117,0.03235903540096107
3C0101,3C0103,0.004937618480800599
3C0101,3C0104,0.0011021469823215624
3C0101,3D0115,0.0005731164308072124
3C0101,3C0106,8.817175858572499e-05
3C0101,3C770E,4.4085879292862495e-05
3C0101,3D1C0F,4.4085879292862495e-05
3C0101,3D0113,4.4085879292862495e-05
3C0101,3D7913,4.4085879292862495e-05
3C0102,3C0103,0.8720281772820664
3C0102,3D0115,0.11719568954673151
3C0102,3C0104,0.008637678728667868
3C0102,3C0105,0.0007966791060421821
3C0102,3D0113,0.000377374313388402
3C0102,3C0301,0.000251582875592268
3C0102,3C770E,0.00020965239632689
3C0102,3C0106,0.000167721917061512
3C0102,3D8A04,4.1930479265378e-05
3C0102,3D101D,4.1930479265378e-05
3C0102,3D1019,4.1930479265378e-05
3C0102,3D071F,4.1930479265378e-05
3C0102,3C0107,4.1930479265378e-05
3C0102,3C0D0E,4.1930479265378e-05
3C0102,3D5314,4.1930479265378e-05
3C0102,3C1004,4.1930479265378e-05
3C0103,3C0104,0.8930672104148695
3C0103,3D0113,0.100501921417928
3C0103,3C0105,0.003450709748255039
3C0103,3C770E,0.0012940161555956395
3C0103,3D010D,0.00043133871853187985
3C0103,3D0115,0.00023527566465375265
3C0103,3C0106,0.00023527566465375265
3C0103,3C0301,0.00015685044310250176
3C0103,3C0107,0.00015685044310250176
3C0103,3D0205,0.00011763783232687632
3C0103,3C1002,7.842522155125088e-05
3C0103,3D7E01,3.921261077562544e-05
3C0103,3D0111,3.921261077562544e-05
3C0103,3D1019,3.921261077562544e-05
3C0103,3D071F,3.921261077562544e-05
3C0103,3D0E35,3.921261077562544e-05
3C0103,3D2D09,3.921261077562544e-05
3C0103,3C0302,3.921261077562544e-05
3C0104,3C0105,0.701283170108924
3C0104,3C770E,0.2451598306344743
3C0104,3D770D,0.04544426128834157
3C0104,3C0106,0.004137173147160542
3C0104,3C0107,0.0009373282911535602
3C0104,3C0301,0.0008080416303047933
3C0104,3C7710,0.0006787549694560264
3C0104,3D0111,0.0006141116390316429
3C0104,3D7718,0.0001939299912731504
3C0104,3C2D0B,0.00012928666084876693
3C0104,3D770B,6.464333042438346e-05
3C0104,3D0113,6.464333042438346e-05
3C0104,3D1019,6.464333042438346e-05
3C0104,3C1004,6.464333042438346e-05
3C0104,3D0E39,3.232166521219173e-05
3C0104,3C0303,3.232166521219173e-05
3C0104,3D271C,3.232166521219173e-05
3C0104,3D030D,3.232166521219173e-05
3C0104,3C100E,3.232166521219173e-05
3C0104,3D030B,3.232166521219173e-05
3C0104,3D7606,3.232166521219173e-05
3C0104,3C0B1C,3.232166521219173e-05
3C0104,3C4403,3.232166521219173e-05
3C0104,3D010F,3.232166521219173e-05
3C0104,3D071D,3.232166521219173e-05
3C0105,3C0106,0.8530391340549542
3C0105,3D0111,0.13715842858224206
3C0105,3C0107,0.007720838695026872
3C0105,3C0301,0.0013246536976761788
3C0105,3D010F,0.00041631973355537054
3C0105,3C0302,0.00015138899402013473
3C0105,3C1003,3.784724850503368e-05
3C0105,3D0A02,3.784724850503368e-05
3C0105,3D030B,3.784724850503368e-05
3C0105,3D1401,3.784724850503368e-05
3C0105,3C310A,3.784724850503368e-05
3C0106,3C0107,0.9237799693929604
3C0106,3D010F,0.06878081958850536
3C0106,3C0301,0.006333956810066315
3C0106,3C0302,0.0005101173269852066
3C0106,3D030D,0.00012752933174630166
3C0106,3C0303,0.00012752933174630166
3C0106,3C1002,8.501955449753443e-05
3C0106,3C0304,4.2509777248767215e-05
3C0106,3D1020,4.2509777248767215e-05
3C0106,3C0E1B,4.2509777248767215e-05
3C0106,3D071D,4.2509777248767215e-05
3C0106,3C0E04,4.2509777248767215e-05
3C0106,3D6F06,4.2509777248767215e-05
3C0107,3C0301,0.9872706373195964
3C0107,3C0302,0.007194857167184639
3C0107,3D2C03,0.003746434501255907
3C0107,3D030D,0.0006811699093192559
3C0107,3C0303,0.00034058495465962794
3C0107,3C1002,0.00025543871599472095
3C0107,3C1003,8.514623866490698e-05
3C0107,3D1019,8.514623866490698e-05
3C0107,3D2D09,4.257311933245349e-05
3C0107,3D080E,4.257311933245349e-05
3C0107,3C0304,4.257311933245349e-05
3C0107,3C1004,4.257311933245349e-05
3C0107,3D101D,4.257311933245349e-05
3C0107,3D010F,4.257311933245349e-05
3C0107,3C1006,4.257311933245349e-05
3C0107,3D030B,4.257311933245349e-05
3C0110,3D0109,0.5149769585253456
3C0110,3C0107,0.4305875576036866
3C0110,3D0113,0.006048387096774193
3C0110,3C0301,0.004896313364055299
3C0110,3D010A,0.0031682027649769587
3C0110,3D101D,0.002880184331797235
3C0110,3D0115,0.002304147465437788
3C0110,3D7609,0.0020161290322580645
3C0110,3D030D,0.0020161290322580645
3C0110,3D1024,0.0020161290322580645
3C0110,3D1019,0.0017281105990783411
3C0110,3D1026,0.0014400921658986176
3C0110,3D751D,0.001152073732718894
3C0110,3D8A04,0.001152073732718894
3C0110,3D0111,0.001152073732718894
3C0110,3D010B,0.001152073732718894
3C0110,3C0302,0.001152073732718894
3C0110,3D0209,0.0008640552995391706
3C0110,3D7716,0.0008640552995391706
3C0110,3D7521,0.0008640552995391706
3C0110,3D750B,0.000576036866359447
3C0110,3D7109,0.000576036866359447
3C0110,3D101E,0.000576036866359447
3C0110,3D673C,0.000576036866359447
3C0110,3D4418,0.000576036866359447
3C0110,3D0E32,0.000576036866359447
3C0110,3D770D,0.000576036866359447
3C0110,3D030B,0.000576036866359447
3C0110,3D2415,0.0002880184331797235
3C0110,3D251F,0.0002880184331797235
3C0110,3D9D01,0.0002880184331797235
3C0110,3D3125,0.0002880184331797235
3C0110,3D010D,0.0002880184331797235
3C0110,3D4C13,0.0002880184331797235
3C0110,3D0E36,0.0002880184331797235
3C0110,3DA206,0.0002880184331797235
3C0110,3D9C02,0.0002880184331797235
3C0110,3C0303,0.0002880184331797235
3C0110,3D760D,0.0002880184331797235
3C0110,3D5015,0.0002880184331797235
3C0110,3D7107,0.0002880184331797235
3C0110,3D7E0D,0.0002880184331797235
3C0110,3D0E39,0.0002880184331797235
3C0110,3D0117,0.0002880184331797235
3C0110,3D070A,0.0002880184331797235
3C0110,3D010C,0.0002880184331797235
3C0110,3F8812,0.0002880184331797235
3C0110,3D071F,0.0002880184331797235
3C0110,3D5E09,0.0002880184331797235
3C0110,3D7417,0.0002880184331797235
3C0110,3DA11B,0.0002880184331797235
3C0110,3D0413,0.0002880184331797235
3C0110,3D770B,0.0002880184331797235
3C0110,3D121B,0.0002880184331797235
3C0110,3D430B,0.0002880184331797235
3C0110,3C8A07,0.0002880184331797235
3C0110,3D0810,0.0002880184331797235
3C0110,3DA10F,0.0002880184331797235
3C0110,3D5113,0.0002880184331797235
3C0110,3D0119,0.0002880184331797235
3C0110,3D970C,0.0002880184331797235
3C0110,3D3F0C,0.0002880184331797235
3C0110,3D6303,0.0002880184331797235
3C0110,3D8A02,0.0002880184331797235
3C0110,3D8418,0.0002880184331797235
3C0110,3D5828,0.0002880184331797235
3C0110,3D8708,0.0002880184331797235
3C0110,3D9502,0.0002880184331797235
3C0110,3D0508,0.0002880184331797235
3C0110,3D2616,0.0002880184331797235
3C0110,3D760B,0.0002880184331797235
3C0110,3D2417,0.0002880184331797235
3C0110,3C770E,0.0002880184331797235
3C0112,3D010A,0.7820181112548512
3C0112,3C0106,0.17615351444588184
3C0112,3D0115,0.004959034066407934
3C0112,3D010B,0.003234152652005175
3C0112,3C0107,0.00301854247520483
3C0112,3D0113,0.00301854247520483
3C0112,3D8418,0.0017248814144027599
3C0112,3D010C,0.00129366106080207
3C0112,3D0119,0.0010780508840017248
3C0112,3D7609,0.0008624407072013799
3C0112,3D750B,0.0008624407072013799
3C0112,3D771A,0.0008624407072013799
3C0112,3C770E,0.0008624407072013799
3C0112,3D101D,0.0008624407072013799
3C0112,3D1026,0.0008624407072013799
3C0112,3D1019,0.0008624407072013799
3C0112,3D7716,0.000646830530401035
3C0112,3D030B,0.000646830530401035
3C0112,3D030D,0.000646830530401035
3C0112,3C0301,0.000646830530401035
3C0112,3D770D,0.000646830530401035
3C0112,3D010F,0.000646830530401035
3C0112,3D8A04,0.000646830530401035
3C0112,3D7521,0.000646830530401035
3C0112,3C1002,0.000646830530401035
3C0112,3D0117,0.000646830530401035
3C0112,3D7815,0.00043122035360068997
3C0112,3D121B,0.00043122035360068997
3C0112,3D0E36,0.00043122035360068997
3C0112,3D7819,0.00043122035360068997
3C0112,3D760B,0.00043122035360068997
3C0112,3D770B,0.00043122035360068997
3C0112,3D4111,0.00043122035360068997
3C0112,3D673C,0.00043122035360068997
3C0112,3D4416,0.00043122035360068997
3C0112,3D4113,0.00021561017680034498
3C0112,3D5501,0.00021561017680034498
3C0112,3C0302,0.00021561017680034498
3C0112,3D2A01,0.00021561017680034498
3C0112,3D1022,0.00021561017680034498
3C0112,3D2533,0.00021561017680034498
3C0112,3D730D,0.00021561017680034498
3C0112,3D0E32,0.00021561017680034498
3C0112,3D4418,0.00021561017680034498
3C0112,3D2618,0.00021561017680034498
3C0112,3D6809,0.00021561017680034498
3C0112,3D780E,0.00021561017680034498
3C0112,3D673D,0.00021561017680034498
3C0112,3D0D1C,0.00021561017680034498
3C0112,3C1004,0.00021561017680034498
3C0112,3D5823,0.00021561017680034498
3C0112,3D5017,0.00021561017680034498
3C0112,3D2612,0.00021561017680034498
3C0112,3D0D1A,0.00021561017680034498
3C0112,3D2D09,0.00021561017680034498
3C0112,3D7107,0.00021561017680034498
3C0112,3D4805,0.00021561017680034498
3C0112,3D3A0D,0.00021561017680034498
3C0112,3D7718,0.00021561017680034498
3C0112,3D8504,0.00021561017680034498
3C0112,3D2901,0.00021561017680034498
3C0112,3D2C05,0.00021561017680034498
3C0112,3D5825,0.00021561017680034498
3C0112,3D751D,0.00021561017680034498
3C0112,3D3A0F,0.00021561017680034498
3C0112,3D4410,0.00021561017680034498
3C0112,3D501B,0.00021561017680034498
3C0112,3D0415,0.00021561017680034498
3C0114,3C0104,0.7244670991658944
3C0114,3D010C,0.22242817423540315
3C0114,3D0115,0.004355885078776645
3C0114,3D2D09,0.0025023169601482856
3C0114,3D7718,0.0024096385542168677
3C0114,3C0105,0.0020389249304911955
3C0114,3D0111,0.0018535681186283596
3C0114,3D010F,0.0018535681186283596
3C0114,3D030D,0.0016682113067655235
3C0114,3D1019,0.0016682113067655235
3C0114,3D101D,0.0016682113067655235
3C0114,3D770D,0.0014828544949026877
3C0114,3D8A04,0.0014828544949026877
3C0114,3C770E,0.0012048192771084338
3C0114,3D010D,0.0012048192771084338
3C0114,3D0119,0.0011121408711770157
3C0114,3D0209,0.0011121408711770157
3C0114,3D750B,0.0010194624652455977
3C0114,3D8418,0.0009267840593141798
3C0114,3D030B,0.0009267840593141798
3C0114,3C0106,0.0007414272474513438
3C0114,3D751D,0.0007414272474513438
3C0114,3D0117,0.0006487488415199259
3C0114,3D1026,0.0006487488415199259
3C0114,3D0113,0.0005560704355885078
3C0114,3D7521,0.0005560704355885078
3C0114,3D121B,0.0005560704355885078
3C0114,3D7E0D,0.0004633920296570899
3C0114,3D2C05,0.0004633920296570899
3C0114,3D771A,0.0004633920296570899
3C0114,3D7819,0.0004633920296570899
3C0114,3D7F08,0.0003707136237256719
3C0114,3D751F,0.0003707136237256719
3C0114,3D7609,0.0003707136237256719
3C0114,3D4412,0.0003707136237256719
3C0114,3D0E35,0.0002780352177942539
3C0114,3D7107,0.0002780352177942539
3C0114,3D0E36,0.0002780352177942539
3C0114,3D1022,0.0002780352177942539
3C0114,3C0E3B,0.0002780352177942539
3C0114,3D8414,0.0002780352177942539
3C0114,3D7109,0.0002780352177942539
3C0114,3D101E,0.0002780352177942539
3C0114,3D2533,0.0002780352177942539
3C0114,3D1401,0.0002780352177942539
3C0114,3C0302,0.0002780352177942539
3C0114,3D510F,0.00018535681186283596
3C0114,3D1219,0.00018535681186283596
3C0114,3D6C0D,0.00018535681186283596
3C0114,3D0413,0.00018535681186283596
3C0114,3D2618,0.00018535681186283596
3C0114,3D673D,0.00018535681186283596
3C0114,3D7E0B,0.00018535681186283596
3C0114,3D9B04,0.00018535681186283596
3C0114,3D0E2B,0.00018535681186283596
3C0114,3C4401,0.00018535681186283596
3C0114,3D4111,0.00018535681186283596
3C0114,3D520F,0.00018535681186283596
3C0114,3D7813,0.00018535681186283596
3C0114,3D4418,0.00018535681186283596
3C0114,3D0E32,0.00018535681186283596
3C0114,3D5E09,0.00018535681186283596
3C0114,3D6737,0.00018535681186283596
3C0114,3D7417,0.00018535681186283596
3C0114,3D9B07,0.00018535681186283596
3C0114,3D4414,0.00018535681186283596
3C0114,3D2714,0.00018535681186283596
3C0114,3D010E,0.00018535681186283596
3C0114,3D2521,0.00018535681186283596
3C0114,3D720D,0.00018535681186283596
3C0114,3D2417,0.00018535681186283596
3C0114,3D8410,0.00018535681186283596
3C0114,3D5215,0.00018535681186283596
3C0114,3D730D,0.00018535681186283596
3C0114,3D252D,0.00018535681186283596
3C0114,3C0E04,0.00018535681186283596
3C0114,3D071F,0.00018535681186283596
3C0114,3D441A,9.267840593141798e-05
3C0114,3D0205,9.267840593141798e-05
3C0114,3D0708,9.267840593141798e-05
3C0114,3D4416,9.267840593141798e-05
3C0114,3D2610,9.267840593141798e-05
3C0114,3C7F05,9.267840593141798e-05
3C0114,3D1D19,9.267840593141798e-05
3C0114,3D770B,9.267840593141798e-05
3C0114,3D1C0F,9.267840593141798e-05
3C0114,3D3A0D,9.267840593141798e-05
3C0114,3DA107,9.267840593141798e-05
3C0114,3D760D,9.267840593141798e-05
3C0114,3D730B,9.267840593141798e-05
3C0114,3D3506,9.267840593141798e-05
3C0114,3D7413,9.267840593141798e-05
3C0114,3D6F0A,9.267840593141798e-05
3C0114,3D1811,9.267840593141798e-05
3C0114,3D7412,9.267840593141798e-05
3C0114,3D041B,9.267840593141798e-05
3C0114,3D6F0C,9.267840593141798e-05
3C0114,3D271A,9.267840593141798e-05
3C0114,3D7514,9.267840593141798e-05
3C0114,3D071D,9.267840593141798e-05
3C0114,3D271C,9.267840593141798e-05
3C0114,3D673C,9.267840593141798e-05
3C0114,3D760B,9.267840593141798e-05
3C0114,3D241B,9.267840593141798e-05
3C0114,3D8A02,9.267840593141798e-05
3C0114,3D3125,9.267840593141798e-05
3C0114,3C1003,9.267840593141798e-05
3C0114,3D0D1A,9.267840593141798e-05
3C0114,3C0303,9.267840593141798e-05
3C0114,3D673A,9.267840593141798e-05
3C0114,3D3D0E,9.267840593141798e-05
3C0114,3D251F,9.267840593141798e-05
3C0114,3D780E,9.267840593141798e-05
3C0114,3D0B22,9.267840593141798e-05
3C0114,3D6C11,9.267840593141798e-05
3C0114,3D0419,9.267840593141798e-05
3C0114,3D6E1F,9.267840593141798e-05
3C0114,3D8413,9.267840593141798e-05
3C0114,3D070A,9.267840593141798e-05
