ENTOLLSTATIONHEX,EntryHour,EntryCount
1101020A,6,1
1101021A,17,1
11010501,12,1
11010E10,14,1
11011001,10,1
11011001,11,1
11011002,12,1
11011401,8,1
12016506,17,1
12016A01,13,1
12016B01,8,1
12016B01,12,1
12016D01,17,1
12016D02,15,1
12017002,8,1
12017102,10,1
12017604,21,1
1201760A,0,1
12017C04,14,1
12017C08,4,1
12018301,9,2
12018301,10,1
12018301,11,1
12018301,14,1
12018301,17,2
12018301,22,1
12018702,8,1
13130101,13,1
13130107,19,1
13130302,7,1
13130401,6,1
13130402,0,1
13130502,10,1
13130502,14,1
13130603,2,1
13130604,16,1
13130606,9,1
13130801,15,1
13130901,16,1
13130901,18,1
13130901,21,1
13130903,23,1
13130904,3,1
13130904,18,1
13130A10,19,1
13130B05,3,1
13130B06,11,1
13130B09,14,1
13130B0C,5,1
13130B0C,16,1
13130B0D,11,1
13130D03,5,1
13130D04,4,1
13131503,18,2
13131602,3,1
13131604,8,1
13131A02,9,1
13131A04,6,1
13131C02,6,1
13131C04,6,1
13131E04,16,1
13132002,9,1
13132002,13,1
13132004,14,1
13132004,15,1
13132004,17,1
13132005,10,1
13132302,4,1
13132D04,11,1
13133A02,13,1
13133A06,9,1
13133A06,10,1
13133B01,14,1
13133B03,11,1
13133B07,15,1
13133F07,18,1
13134002,17,1
13134203,10,1
13134301,14,1
13134E06,6,1
13135602,10,1
13135602,20,1
13135A01,3,1
13135A01,5,1
13135A01,13,1
13135A03,6,1
13135A03,12,1
13135A04,1,1
13135A04,2,1
13135A04,8,1
13135B01,8,1
13135C02,17,1
13136301,6,1
13136401,13,1
13136503,11,1
13136C04,16,1
13136C04,20,1
13136E02,7,1
14011F05,13,1
14012205,17,1
14012905,7,1
1401340F,10,1
14014101,13,1
14014702,23,1
14014803,13,1
151E0BCC,19,1
151F0C22,22,2
155420D4,13,1
2101043A,1,1
2101043A,15,1
2101044C,5,1
21010717,18,1
22010232,16,1
22010413,20,1
22010531,22,1
31010507,8,1
31010F06,17,1
32010522,5,1
32010543,21,1
32010543,23,1
32010545,10,1
32010561,20,1
32010563,21,1
32010564,15,1
32010584,6,1
32010585,14,1
320105A4,18,1
32010A09,7,1
32010F05,1,1
32010F06,21,1
32011406,22,1
32011904,16,1
32013703,9,1
32014603,5,1
32014A01,7,1
32015502,1,1
3201CE05,4,1
32026604,16,1
32026606,22,1
32026702,8,1
32026704,9,1
32026704,14,1
32026704,15,1
32026927,17,1
32026E22,6,1
32026E31,3,1
32027343,14,1
32027364,13,1
32028201,7,1
32028201,8,1
32028201,15,1
32028C02,9,1
32029641,15,2
32029646,12,1
32029646,19,1
3202A024,21,1
3202B901,1,1
3202B901,12,1
3202B901,16,1
3202BF22,8,1
3202D102,14,1
33010A11,19,1
33010B31,7,1
33010C33,2,1
33011A16,8,1
33011B0B,14,1
33011C21,11,1
3301201B,18,1
33012811,9,1
33012A0D,13,1
34010194,5,1
3401025C,17,1
34010322,0,1
340104B3,14,1
340104B3,19,1
34010836,22,1
34011451,21,1
34012AFB,18,1
340133F5,10,1
35013302,6,1
35014901,9,1
360101FF,20,1
3601025F,2,1
3601025F,9,1
3601025F,10,1
3601025F,13,1
360102BF,12,1
360107D4,22,1
3601290D,12,1
37010214,0,20
37010214,1,13
37010214,2,10
37010214,3,13
37010214,4,24
37010214,5,44
37010214,6,105
37010214,7,198
37010214,8,205
37010214,9,217
37010214,10,195
37010214,11,170
37010214,12,201
37010214,13,240
37010214,14,256
37010214,15,282
37010214,16,330
37010214,17,294
37010214,18,146
37010214,19,122
37010214,20,93
37010214,21,74
37010214,22,33
37010214,23,24
37010215,0,39
37010215,1,36
37010215,2,33
37010215,3,42
37010215,4,45
37010215,5,73
37010215,6,164
37010215,7,201
37010215,8,268
37010215,9,265
37010215,10,276
37010215,11,215
37010215,12,221
37010215,13,281
37010215,14,308
37010215,15,326
37010215,16,444
37010215,17,442
37010215,18,190
37010215,19,131
37010215,20,143
37010215,21,101
37010215,22,78
37010215,23,66
37010216,0,37
37010216,1,36
37010216,2,25
37010216,3,49
37010216,4,74
37010216,5,212
37010216,6,533
37010216,7,1062
37010216,8,1060
37010216,9,888
37010216,10,758
37010216,11,613
37010216,12,518
37010216,13,596
37010216,14,739
37010216,15,734
37010216,16,702
37010216,17,629
37010216,18,365
37010216,19,262
37010216,20,220
37010216,21,169
37010216,22,99
37010216,23,56
37010217,0,35
37010217,1,26
37010217,2,33
37010217,3,47
37010217,4,61
37010217,5,143
37010217,6,373
37010217,7,460
37010217,8,558
37010217,9,546
37010217,10,473
37010217,11,451
37010217,12,439
37010217,13,462
37010217,14,457
37010217,15,498
37010217,16,488
37010217,17,463
37010217,18,316
37010217,19,227
37010217,20,201
37010217,21,148
37010217,22,109
37010217,23,88
37010218,0,14
37010218,1,23
37010218,2,31
37010218,3,23
37010218,4,37
37010218,5,89
37010218,6,116
37010218,7,140
37010218,8,159
37010218,9,171
37010218,10,158
37010218,11,147
37010218,12,153
37010218,13,182
37010218,14,206
37010218,15,249
37010218,16,299
37010218,17,276
37010218,18,116
37010218,19,79
37010218,20,62
37010218,21,47
37010218,22,22
37010218,23,16
37010221,0,20
37010221,1,13
37010221,2,11
37010221,3,20
37010221,4,24
37010221,5,47
37010221,6,117
37010221,7,134
37010221,8,164
37010221,9,213
37010221,10,158
37010221,11,167
37010221,12,157
37010221,13,199
37010221,14,196
37010221,15,190
37010221,16,267
37010221,17,222
37010221,18,116
37010221,19,80
37010221,20,70
37010221,21,59
37010221,22,46
37010221,23,22
37010223,0,27
37010223,1,17
37010223,2,12
37010223,3,28
37010223,4,59
37010223,5,128
37010223,6,298
37010223,7,542
37010223,8,606
37010223,9,472
37010223,10,392
37010223,11,325
37010223,12,303
37010223,13,437
37010223,14,437
37010223,15,441
37010223,16,449
37010223,17,410
37010223,18,223
37010223,19,140
