EXTOLLSTATIONHEX,ExitHour,ExitCount
37010214,0,26
37010214,1,15
37010214,2,12
37010214,3,17
37010214,4,24
37010214,5,33
37010214,6,86
37010214,7,187
37010214,8,273
37010214,9,329
37010214,10,294
37010214,11,234
37010214,12,175
37010214,13,168
37010214,14,237
37010214,15,214
37010214,16,206
37010214,17,189
37010214,18,136
37010214,19,102
37010214,20,91
37010214,21,65
37010214,22,41
37010214,23,35
37010215,0,31
37010215,1,17
37010215,2,14
37010215,3,22
37010215,4,17
37010215,5,49
37010215,6,183
37010215,7,295
37010215,8,416
37010215,9,412
37010215,10,357
37010215,11,253
37010215,12,218
37010215,13,274
37010215,14,252
37010215,15,278
37010215,16,273
37010215,17,294
37010215,18,199
37010215,19,146
37010215,20,111
37010215,21,74
37010215,22,52
37010215,23,51
37010216,0,72
37010216,1,48
37010216,2,38
37010216,3,29
37010216,4,52
37010216,5,82
37010216,6,235
37010216,7,414
37010216,8,563
37010216,9,766
37010216,10,793
37010216,11,752
37010216,12,619
37010216,13,632
37010216,14,766
37010216,15,850
37010216,16,1001
37010216,17,1434
37010216,18,672
37010216,19,441
37010216,20,321
37010216,21,238
37010216,22,149
37010216,23,100
37010217,0,67
37010217,1,52
37010217,2,53
37010217,3,40
37010217,4,65
37010217,5,104
37010217,6,199
37010217,7,359
37010217,8,444
37010217,9,459
37010217,10,419
37010217,11,399
37010217,12,349
37010217,13,390
37010217,14,417
37010217,15,503
37010217,16,559
37010217,17,640
37010217,18,349
37010217,19,231
37010217,20,211
37010217,21,201
37010217,22,149
37010217,23,109
37010218,0,9
37010218,1,10
37010218,2,4
37010218,3,10
37010218,4,12
37010218,5,22
37010218,6,90
37010218,7,132
37010218,8,212
37010218,9,217
37010218,10,226
37010218,11,179
37010218,12,138
37010218,13,166
37010218,14,149
37010218,15,178
37010218,16,170
37010218,17,175
37010218,18,124
37010218,19,63
37010218,20,50
37010218,21,49
37010218,22,26
37010218,23,15
37010221,0,17
37010221,1,21
37010221,2,14
37010221,3,12
37010221,4,16
37010221,5,39
37010221,6,101
37010221,7,187
37010221,8,214
37010221,9,218
37010221,10,222
37010221,11,194
37010221,12,151
37010221,13,180
37010221,14,190
37010221,15,200
37010221,16,211
37010221,17,194
37010221,18,143
37010221,19,117
37010221,20,88
37010221,21,58
37010221,22,52
37010221,23,34
37010223,0,46
37010223,1,44
37010223,2,24
37010223,3,11
37010223,4,17
37010223,5,48
37010223,6,116
37010223,7,251
37010223,8,326
37010223,9,444
37010223,10,421
37010223,11,376
37010223,12,323
37010223,13,374
37010223,14,371
37010223,15,513
37010223,16,556
37010223,17,608
37010223,18,436
37010223,19,258
37010223,20,182
37010223,21,165
37010223,22,105
37010223,23,62
37010232,0,40
37010232,1,31
37010232,2,36
37010232,3,35
37010232,4,35
37010232,5,45
37010232,6,96
37010232,7,192
37010232,8,209
37010232,9,297
37010232,10,323
37010232,11,285
37010232,12,242
37010232,13,267
37010232,14,324
37010232,15,353
37010232,16,422
37010232,17,456
37010232,18,325
37010232,19,207
37010232,20,194
37010232,21,154
37010232,22,108
37010232,23,73
37010233,0,27
37010233,1,16
37010233,2,22
37010233,3,19
37010233,4,23
37010233,5,50
37010233,6,87
37010233,7,173
37010233,8,270
37010233,9,345
37010233,10,353
37010233,11,309
37010233,12,253
37010233,13,241
37010233,14,279
37010233,15,325
37010233,16,289
37010233,17,285
37010233,18,237
37010233,19,166
37010233,20,150
37010233,21,123
37010233,22,55
37010233,23,50
37010241,0,194
37010241,1,127
37010241,2,68
37010241,3,66
37010241,4,85
37010241,5,127
37010241,6,419
37010241,7,1155
37010241,8,1364
37010241,9,1457
37010241,10,1416
37010241,11,1342
37010241,12,1301
37010241,13,1554
37010241,14,1885
37010241,15,2029
37010241,16,2138
37010241,17,1953
37010241,18,1325
37010241,19,855
37010241,20,664
37010241,21,477
37010241,22,326
37010241,23,207
37010242,0,57
37010242,1,56
37010242,2,33
37010242,3,37
37010242,4,58
37010242,5,99
37010242,6,221
37010242,7,627
37010242,8,682
37010242,9,665
37010242,10,589
37010242,11,502
37010242,12,502
37010242,13,531
37010242,14,661
37010242,15,685
37010242,16,875
37010242,17,796
37010242,18,438
37010242,19,300
37010242,20,264
37010242,21,190
37010242,22,163
37010242,23,86
37010243,0,56
37010243,1,40
37010243,2,45
37010243,3,49
37010243,4,37
37010243,5,77
37010243,6,263
37010243,7,655
37010243,8,889
37010243,9,843
37010243,10,703
37010243,11,570
37010243,12,525
37010243,13,572
37010243,14,610
37010243,15,667
37010243,16,775
37010243,17,663
37010243,18,472
37010243,19,320
37010243,20,215
37010243,21,166
37010243,22,107
37010243,23,57
37010244,0,24
37010244,1,23
37010244,2,14
37010244,3,9
37010244,4,9
37010244,5,60
37010244,6,134
37010244,7,311
37010244,8,398
37010244,9,431
37010244,10,393
37010244,11,316
37010244,12,220
37010244,13,236
37010244,14,314
37010244,15,314
37010244,16,280
37010244,17,253
37010244,18,194
37010244,19,128
37010244,20,108
37010244,21,74
37010244,22,68
37010244,23,22
37010245,0,20
37010245,1,23
37010245,2,20
37010245,3,10
37010245,4,7
37010245,5,41
37010245,6,81
37010245,7,284
37010245,8,361
37010245,9,472
37010245,10,371
37010245,11,301
37010245,12,234
37010245,13,261
37010245,14,285
37010245,15,297
37010245,16,324
37010245,17,261
37010245,18,176
37010245,19,101
37010245,20,89
37010245,21,80
37010245,22,58
37010245,23,33
37010246,0,51
37010246,1,44
37010246,2,20
37010246,3,15
37010246,4,20
37010246,5,34
37010246,6,118
37010246,7,368
37010246,8,555
37010246,9,762
37010246,10,663
37010246,11,597
37010246,12,453
37010246,13,447
37010246,14,478
37010246,15,574
37010246,16,606
37010246,17,592
37010246,18,475
37010246,19,351
37010246,20,185
37010246,21,116
37010246,22,107
37010246,23,64
37010413,0,93
37010413,1,75
37010413,2,74
37010413,3,33
37010413,4,36
37010413,5,56
37010413,6,175
37010413,7,548
37010413,8,1074
37010413,9,1332
37010413,10,1313
37010413,11,1238
37010413,12,1021
37010413,13,1197
37010413,14,1331
37010413,15,1392
37010413,16,1550
37010413,17,1635
37010413,18,1311
37010413,19,768
37010413,20,487
37010413,21,420
37010413,22,287
37010413,23,174
37010414,0,174
37010414,1,128
37010414,2,109
37010414,3,99
37010414,4,119
37010414,5,128
37010414,6,234
37010414,7,366
37010414,8,528
37010414,9,658
37010414,10,717
37010414,11,650
37010414,12,660
37010414,13,656
37010414,14,720
37010414,15,803
37010414,16,950
37010414,17,1037
37010414,18,857
37010414,19,559
37010414,20,447
37010414,21,447
37010414,22,336
37010414,23,280
37010415,0,50
37010415,1,34
37010415,2,25
37010415,3,22
37010415,4,41
37010415,5,65
37010415,6,160
37010415,7,289
37010415,8,468
37010415,9,563
37010415,10,504
37010415,11,460
37010415,12,370
37010415,13,421
37010415,14,468
37010415,15,452
37010415,16,529
37010415,17,452
37010415,18,355
37010415,19,218
37010415,20,161
37010415,21,163
37010415,22,104
37010415,23,72
37010416,0,37
37010416,1,36
37010416,2,22
37010416,3,10
37010416,4,39
37010416,5,35
37010416,6,140
37010416,7,175
37010416,8,302
37010416,9,401
37010416,10,403
37010416,11,406
37010416,12,359
37010416,13,383
37010416,14,349
37010416,15,427
37010416,16,452
37010416,17,454
37010416,18,377
37010416,19,218
37010416,20,151
37010416,21,115
37010416,22,78
37010416,23,65
37010421,0,48
37010421,1,31
37010421,2,17
37010421,3,24
37010421,4,30
37010421,5,44
37010421,6,158
37010421,7,448
37010421,8,635
37010421,9,860
37010421,10,724
37010421,11,575
37010421,12,455
37010421,13,477
37010421,14,586
37010421,15,586
37010421,16,646
37010421,17,709
37010421,18,541
37010421,19,306
37010421,20,221
37010421,21,169
37010421,22,133
37010421,23,87
37010422,0,147
37010422,1,94
37010422,2,94
37010422,3,78
37010422,4,76
37010422,5,148
37010422,6,421
37010422,7,1024
37010422,8,1164
37010422,9,1217
37010422,10,1172
37010422,11,917
37010422,12,721
37010422,13,737
37010422,14,909
37010422,15,932
37010422,16,938
37010422,17,1085
37010422,18,768
37010422,19,593
37010422,20,591
37010422,21,444
37010422,22,321
37010422,23,207
37010423,0,115
37010423,1,71
37010423,2,82
37010423,3,89
37010423,4,93
37010423,5,134
37010423,6,226
37010423,7,395
37010423,8,422
37010423,9,447
37010423,10,525
37010423,11,543
37010423,12,475
37010423,13,490
37010423,14,518
37010423,15,500
37010423,16,606
37010423,17,693
37010423,18,556
37010423,19,403
37010423,20,323
37010423,21,260
37010423,22,217
37010423,23,136
37010424,0,59
37010424,1,54
37010424,2,17
37010424,3,17
37010424,4,40
37010424,5,190
37010424,6,410
37010424,7,580
37010424,8,845
37010424,9,815
37010424,10,824
37010424,11,544
37010424,12,470
37010424,13,469
37010424,14,528
37010424,15,566
37010424,16,591
37010424,17,629
37010424,18,522
37010424,19,313
37010424,20,231
37010424,21,152
37010424,22,134
37010424,23,74
37010425,0,110
37010425,1,81
37010425,2,47
37010425,3,56
37010425,4,57
37010425,5,82
37010425,6,192
37010425,7,713
37010425,8,682
37010425,9,790
37010425,10,742
37010425,11,657
37010425,12,624
37010425,13,634
37010425,14,662
37010425,15,782
37010425,16,955
37010425,17,1130
37010425,18,921
37010425,19,544
37010425,20,405
37010425,21,304
37010425,22,228
37010425,23,165
37010432,0,377
37010432,1,301
37010432,2,178
37010432,3,173
37010432,4,154
37010432,5,399
37010432,6,1228
37010432,7,3109
37010432,8,5126
37010432,9,4169
37010432,10,3549
37010432,11,3006
37010432,12,2577
37010432,13,2682
37010432,14,3312
37010432,15,3801
37010432,16,4387
37010432,17,5776
37010432,18,5125
37010432,19,2533
37010432,20,1484
37010432,21,1020
37010432,22,694
37010432,23,526
37010433,0,342
37010433,1,255
37010433,2,199
37010433,3,226
37010433,4,233
37010433,5,405
37010433,6,1156
37010433,7,2760
37010433,8,2953
37010433,9,2606
37010433,10,2144
37010433,11,1843
37010433,12,1580
37010433,13,1723
37010433,14,1753
37010433,15,1923
37010433,16,2042
37010433,17,2615
37010433,18,2353
37010433,19,1246
37010433,20,916
37010433,21,788
37010433,22,640
37010433,23,510
37010436,0,629
37010436,1,386
37010436,2,161
37010436,3,139
37010436,4,221
37010436,5,836
37010436,6,3762
37010436,7,7643
37010436,8,8041
37010436,9,7464
37010436,10,6358
37010436,11,5261
37010436,12,5083
37010436,13,5707
37010436,14,6134
37010436,15,6363
37010436,16,7733
37010436,17,9198
37010436,18,7324
37010436,19,4000
37010436,20,2803
37010436,21,1962
37010436,22,1338
37010436,23,986
37010437,0,233
37010437,1,174
37010437,2,127
37010437,3,94
37010437,4,116
37010437,5,391
37010437,6,1588
37010437,7,2681
37010437,8,3451
37010437,9,3135
37010437,10,2687
37010437,11,2478
37010437,12,2211
37010437,13,2434
37010437,14,2703
37010437,15,3103
37010437,16,3401
37010437,17,3788
37010437,18,3134
37010437,19,1830
37010437,20,1162
37010437,21,922
37010437,22,618
37010437,23,410
37010445,0,54
37010445,1,40
37010445,2,36
37010445,3,38
37010445,4,31
37010445,5,61
37010445,6,89
37010445,7,174
37010445,8,216
37010445,9,363
37010445,10,410
37010445,11,389
37010445,12,307
37010445,13,331
37010445,14,365
37010445,15,422
37010445,16,397
37010445,17,397
37010445,18,343
37010445,19,234
37010445,20,165
37010445,21,158
37010445,22,93
37010445,23,67
37010446,0,62
37010446,1,48
37010446,2,39
37010446,3,27
37010446,4,33
37010446,5,74
37010446,6,154
37010446,7,389
37010446,8,632
37010446,9,807
37010446,10,806
37010446,11,770
37010446,12,742
37010446,13,618
37010446,14,747
37010446,15,781
37010446,16,848
37010446,17,857
37010446,18,646
37010446,19,468
37010446,20,314
37010446,21,209
37010446,22,165
37010446,23,115
37010447,0,73
37010447,1,50
37010447,2,31
37010447,3,31
37010447,4,44
37010447,5,49
37010447,6,97
37010447,7,235
37010447,8,338
37010447,9,446
37010447,10,428
37010447,11,479
37010447,12,401
37010447,13,428
37010447,14,492
37010447,15,522
37010447,16,598
37010447,17,616
37010447,18,516
37010447,19,381
37010447,20,255
37010447,21,201
37010447,22,141
37010447,23,99
37010448,0,33
37010448,1,21
37010448,2,22
37010448,3,24
37010448,4,31
37010448,5,55
37010448,6,93
37010448,7,183
37010448,8,243
37010448,9,291
37010448,10,310
37010448,11,226
37010448,12,257
37010448,13,279
37010448,14,287
37010448,15,284
37010448,16,313
37010448,17,303
37010448,18,238
37010448,19,155
37010448,20,131
37010448,21,93
37010448,22,50
37010448,23,50
37010451,0,97
37010451,1,101
37010451,2,42
37010451,3,30
37010451,4,35
37010451,5,75
37010451,6,181
37010451,7,476
37010451,8,735
37010451,9,869
37010451,10,869
37010451,11,842
37010451,12,792
37010451,13,828
37010451,14,953
37010451,15,1013
37010451,16,1146
37010451,17,1355
37010451,18,1181
37010451,19,612
37010451,20,489
37010451,21,381
37010451,22,251
37010451,23,168
37010452,0,159
37010452,1,90
37010452,2,87
37010452,3,81
37010452,4,82
37010452,5,166
37010452,6,433
37010452,7,996
37010452,8,1315
37010452,9,1410
37010452,10,1389
37010452,11,1271
37010452,12,1082
37010452,13,1243
37010452,14,1487
37010452,15,1528
37010452,16,1625
37010452,17,2198
37010452,18,1707
37010452,19,988
37010452,20,683
37010452,21,578
37010452,22,370
37010452,23,218
37010453,0,84
37010453,1,46
37010453,2,27
37010453,3,19
37010453,4,33
37010453,5,33
37010453,6,126
37010453,7,629
37010453,8,1184
37010453,9,894
37010453,10,842
37010453,11,806
37010453,12,617
37010453,13,776
37010453,14,902
37010453,15,962
37010453,16,1080
37010453,17,1219
37010453,18,929
37010453,19,573
37010453,20,414
37010453,21,305
37010453,22,210
37010453,23,154
37010454,0,7
37010454,1,10
37010454,2,4
37010454,3,6
37010454,4,4
37010454,5,13
37010454,6,38
37010454,7,172
37010454,8,104
37010454,9,112
37010454,10,112
37010454,11,112
37010454,12,74
37010454,13,89
37010454,14,107
37010454,15,93
37010454,16,85
37010454,17,76
37010454,18,69
37010454,19,46
37010454,20,39
37010454,21,35
37010454,22,25
37010454,23,18
37010456,0,5
37010456,1,9
37010456,2,1
37010456,3,6
37010456,4,1
37010456,5,7
37010456,6,8
37010456,7,46
37010456,8,66
37010456,9,67
37010456,10,66
37010456,11,78
37010456,12,54
37010456,13,62
37010456,14,91
37010456,15,78
37010456,16,93
37010456,17,126
37010456,18,88
37010456,19,50
37010456,20,51
